task_type_id,task_type_name,estimated_task_value
Strategy & Planning,Strategy & Planning,175.92
Design & UX,Design & UX,75.75
Content Creation,Content Creation,485.69
Legal & Compliance Review,Legal & Compliance Review,442.14
Development (Frontend),Development (Frontend),283.64
Development (Backend),Development (Backend),217.42
QA & Testing,QA & Testing,388.49
Deployment & Release,Deployment & Release,317.48
Marketing & Promotion,Marketing & Promotion,116.18
Analytics & Reporting,Analytics & Reporting,451.24
PMO & Coordination,PMO & Coordination,265.45
Customer Support Prep,Customer Support Prep,458.43
